Year,Country,Quantity
2016,Vietnam,198078
2016,Malaysia,153782
2016,Philippines,16589
2016,Indonesia,616693
2016,Turkey,58426
2016,New Zealand,136
2016,Israel,187014
2016,Russia,26812
2016,Qatar,558565
2016,Kuwait,654516
2016,Japan,9015
2016,Nepal,113
2016,Uruguay,78
2016,United Arab Emirates,167690
2016,China,101042
2016,Oman,102240
2016,Jordan,154508
2016,South Korea,36
2016,Bangladesh,46
2016,Pakistan,3315
2016,Taiwan,994
2016,Brunei Darussalam,5428
2016,Argentina,24
2016,Fiji,152
2016,Mexico,6677
2016,Thailand,1691
2016,Cambodia,2766
2016,Lebanon,11987
2016,Singapore,2100
2016,Chile,0
2016,United Kingdom,0
2016,Canada,0
2016,Sri Lanka,0
2016,Kazakhstan,0
2016,Hong Kong,0
2016,India,0
2016,Uzbekistan,0
2017,Vietnam,169230
2017,Malaysia,71673
2017,Philippines,4189
2017,Indonesia,514433
2017,Turkey,219094
2017,New Zealand,63
2017,Israel,116741
2017,Russia,0
2017,Qatar,659648
2017,Kuwait,605282
2017,Japan,15493
2017,Nepal,71
2017,Uruguay,5
2017,United Arab Emirates,131873
2017,China,80162
2017,Oman,114820
2017,Jordan,53712
2017,South Korea,136
2017,Bangladesh,45
2017,Pakistan,6672
2017,Taiwan,2113
2017,Brunei Darussalam,4799
2017,Argentina,27
2017,Fiji,0
2017,Mexico,0
2017,Thailand,1011
2017,Cambodia,0
2017,Lebanon,0
2017,Singapore,3924
2017,Chile,6
2017,United Kingdom,22
2017,Canada,21
2017,Sri Lanka,3030
2017,Kazakhstan,0
2017,Hong Kong,0
2017,India,0
2017,Uzbekistan,0
2018,Vietnam,206491
2018,Malaysia,77988
2018,Philippines,13267
2018,Indonesia,604048
2018,Turkey,234075
2018,New Zealand,64
2018,Israel,123426
2018,Russia,58413
2018,Qatar,326323
2018,Kuwait,285863
2018,Japan,14465
2018,Nepal,172
2018,Uruguay,3
2018,United Arab Emirates,76657
2018,China,141277
2018,Oman,40114
2018,Jordan,116376
2018,South Korea,32
2018,Bangladesh,368
2018,Pakistan,2927
2018,Taiwan,2091
2018,Brunei Darussalam,4070
2018,Argentina,5
2018,Fiji,0
2018,Mexico,0
2018,Thailand,2110
2018,Cambodia,0
2018,Lebanon,0
2018,Singapore,3959
2018,Chile,0
2018,United Kingdom,0
2018,Canada,0
2018,Sri Lanka,246
2018,Kazakhstan,0
2018,Hong Kong,0
2018,India,0
2018,Uzbekistan,0
2019,Vietnam,271488
2019,Malaysia,73421
2019,Philippines,19230
2019,Indonesia,683887
2019,Turkey,0
2019,New Zealand,94
2019,Israel,121835
2019,Russia,48593
2019,Qatar,337633
2019,Kuwait,386241
2019,Japan,17853
2019,Nepal,436
2019,Uruguay,0
2019,United Arab Emirates,104689
2019,China,163715
2019,Oman,9400
2019,Jordan,189714
2019,South Korea,116
2019,Bangladesh,225
2019,Pakistan,4283
2019,Taiwan,958
2019,Brunei Darussalam,5599
2019,Argentina,0
2019,Fiji,0
2019,Mexico,0
2019,Thailand,2069
2019,Cambodia,0
2019,Lebanon,0
2019,Singapore,3924
2019,Chile,0
2019,United Kingdom,0
2019,Canada,0
2019,Sri Lanka,100
2019,Kazakhstan,2571
2019,Hong Kong,4
2019,India,480
2019,Uzbekistan,0
2020,Vietnam,301830
2020,Malaysia,59384
2020,Philippines,23152
2020,Indonesia,471519
2020,Turkey,0
2020,New Zealand,35
2020,Israel,65354
2020,Russia,38889
2020,Qatar,182963
2020,Kuwait,338776
2020,Japan,14526
2020,Nepal,111
2020,Uruguay,0
2020,United Arab Emirates,60114
2020,China,134010
2020,Oman,34625
2020,Jordan,137180
2020,South Korea,108
2020,Bangladesh,0
2020,Pakistan,2729
2020,Taiwan,583
2020,Brunei Darussalam,8458
2020,Argentina,9
2020,Fiji,0
2020,Mexico,0
2020,Thailand,2142
2020,Cambodia,568
2020,Lebanon,0
2020,Singapore,0
2020,Chile,0
2020,United Kingdom,0
2020,Canada,0
2020,Sri Lanka,0
2020,Kazakhstan,0
2020,Hong Kong,6
2020,India,420
2020,Uzbekistan,2100